#     FILENAME=Skynet_60333_barnard_33-nb_107271_56634.A.spect.cal.txt
#     BASENAME=Skynet_60333_barnard_33-nb_107271_56634
#      CONTROL=SKYNET
#     PROJCODE=Skynet_60333_barnard_33-nb_107271
#     DATAROOT=/raid/scratch/cyborg/SkynetData
#      DATADIR=/raid/scratch/cyborg
#     DATADIR2=/raid/scratch/cyborg/SkynetData/Skynet_60333_barnard_33-nb_1072
#     SCANNAME=2019_06_26_10
#     SRC_NAME=barnard_33-nb
#     OBSERVER=socamrad_21318
#     DATE_OBS=2024-01-24T03:19:52.000
#        OBSID=107271
#      SCANNUM=56634
#          MJD=60333.1387963
#          UTC=11992
#     SCANTYPE=ralongmap
#     DATAMODE=HIRES
#     RECEIVER=Rx1_2
#      OBSFREQ=1395.0000
# Actual_FREQ1=1421.8850,
# Actual_FREQ2=1406.2600
#    LO1Tuning=6856.2600
#     RFFILTER=1355_1435
#        OBSBW=-15.6250
#     EFFBANDW=15.6250
#        NCHAN=1024
#    STARTCHAN=51
#     STOPCHAN=972
#         TINT=0.1342
#         TBIN=0.00419430
#       ACCLEN=2048 
#     DURATION=176.09
#     EXPOSURE=118.38
#        FOCUS=37.049
#       RA,DEC=05:32:14.91, -04:40:06.56
#      RA(deg)=85.17580
#     DEC(deg)=-2.44630
#   WIDTH(deg)=4.4307x4.8706
#    AZIM(deg)=191.5431
#    ELEV(deg)=48.3010
#     COORDREF=RA_DEC_
#         HREF=85.2454
#         VREF=-2.4583
#      RADESYS=FK5
#       OFFSYS=AZEL
#      EQUINOX=2000.00
#     IFATTENS=11.00, 12.00
#   BALANCELEV=1.200 
#   POWER_XLYR=[1.72, 2.23] 
#       VELDEF=RADI-OBS 
#     VELOCITY=0.000 
#         NPOL=2 
#      POLMODE=Linear 
#      POLTYPE=XXYY 
#      WARNING=None 
#     NOISECAL=HI 
#       PRECAL=2 
#      POSTCAL=2 
#     CRYOTEMP=289 
#      BOXTEMP=23 
#         TSYS=XX1:134.40, YY1:135.12
#         TSYS=XX2:121.55, YY2:146.84
#         TCAL=XX1:9.17, YY1:10.07
#         TCAL=XX2:9.16, YY2:9.99
# Calibrated spectra 
#                
#                
#Freq1(MHz)         XX1          YY1   Freq2(MHz)       XX2         YY2 
   1426.41686     120.5908     117.6235    1410.79186     122.2581     166.6473
   1426.40160     120.4866     117.7387    1410.77660     122.3684     166.5847
   1426.38634     120.7219     118.0788    1410.76134     122.5118     166.7512
   1426.37108     120.7185     118.3736    1410.74608     122.7738     166.8797
   1426.35583     120.8754     118.6236    1410.73083     122.8885     166.9208
   1426.34057     120.7386     118.9760    1410.71557     123.1713     166.9690
   1426.32531     120.9532     119.2408    1410.70031     123.2071     166.9782
   1426.31005     121.1004     119.3280    1410.68505     123.4576     167.2771
   1426.29479     121.0776     119.5159    1410.66979     123.5297     167.2597
   1426.27953     121.1820     119.7905    1410.65453     123.8845     167.4517
   1426.26427     121.2985     120.1641    1410.63927     123.8254     167.4540
   1426.24901     121.4389     120.4104    1410.62401     124.2657     167.5249
   1426.23375     121.5717     120.3924    1410.60875     124.2694     167.7076
   1426.21850     121.4583     121.1013    1410.59350     124.4940     167.6136
   1426.20324     121.4818     121.1638    1410.57824     124.6261     167.5675
   1426.18798     121.4872     121.2259    1410.56298     124.7273     167.6696
   1426.17272     121.6838     121.7007    1410.54772     124.7968     167.9225
   1426.15746     121.6464     121.9637    1410.53246     125.0499     167.9072
   1426.14220     121.7255     122.0720    1410.51720     125.2003     167.9353
   1426.12694     121.8220     122.3985    1410.50194     125.4167     167.9444
   1426.11168     121.7855     122.6935    1410.48668     125.3946     167.7460
   1426.09643     122.0647     122.8440    1410.47143     125.6018     168.1007
   1426.08117     122.1240     123.1177    1410.45617     125.7409     168.2006
   1426.06591     122.1334     123.3625    1410.44091     125.7790     168.2292
   1426.05065     122.2113     123.5433    1410.42565     126.0732     168.2226
   1426.03539     122.3077     123.7642    1410.41039     126.1719     168.1814
   1426.02013     122.2819     124.0908    1410.39513     126.2476     168.2307
   1426.00487     122.5059     124.3314    1410.37987     126.3984     168.4071
   1425.98961     122.3641     124.5109    1410.36461     126.6098     168.2747
   1425.97436     122.4560     124.8565    1410.34936     126.8542     168.5931
   1425.95910     122.6325     124.9923    1410.33410     126.7388     168.5373
   1425.94384     122.7253     125.2194    1410.31884     126.9676     168.3418
   1425.92858     122.7290     125.4147    1410.30358     127.2177     168.6309
   1425.91332     122.7434     125.5431    1410.28832     127.3543     168.3590
   1425.89806     122.9511     125.7647    1410.27306     127.3951     168.3718
   1425.88280     122.8990     126.1720    1410.25780     127.5780     168.3371
   1425.86754     122.8586     126.2503    1410.24254     127.6729     168.3340
   1425.85229     122.9848     126.6868    1410.22729     128.0686     168.3763
   1425.83703     123.0134     126.7637    1410.21203     127.8239     168.2618
   1425.82177     123.1452     127.0138    1410.19677     128.0046     168.5788
   1425.80651     123.1320     127.2362    1410.18151     128.1833     168.3593
   1425.79125     123.2060     127.5762    1410.16625     128.3628     168.4452
   1425.77599     123.1039     128.0487    1410.15099     128.4047     168.5440
   1425.76073     123.4456     128.0565    1410.13573     128.5870     168.4372
   1425.74547     123.3756     128.2549    1410.12047     128.5284     168.2384
   1425.73021     123.5906     128.5228    1410.10521     128.7252     168.3636
   1425.71496     123.6357     128.9192    1410.08996     128.6730     168.4823
   1425.69970     123.6947     129.0444    1410.07470     129.0628     168.2355
   1425.68444     123.8604     129.2699    1410.05944     129.0425     168.2659
   1425.66918     123.7300     129.4786    1410.04418     129.2720     168.3418
   1425.65392     123.9504     129.6797    1410.02892     129.3783     168.4238
   1425.63866     123.9065     130.0238    1410.01366     129.4110     168.3377
   1425.62340     123.8868     130.1858    1409.99840     129.5865     168.4668
   1425.60814     124.1410     130.4105    1409.98314     129.7020     168.1964
   1425.59289     124.2268     130.5626    1409.96789     129.9142     168.4889
